AgencyID,Longname,AltNicks,Geo,Type,nomicsID,PrimRepoUrl,PrimType,PrimGetdata,PrimMinSuffix,Primarguments,PrimExampleCall,PrimExampleUrl,DataProcessingFunction,PrimAuthRequired,PrimDataFlows,PrimFlowStructure,LookatDSDref,RefDetailSuffix,RefDetailExample,HelpPage,Special.data,Last_tested,Last_successful,DataFlows,FreqsUsed,PrimFlows,PrimStructureExamle,PrimCodelistExample,SecoUrl,SecoType,SecoGetdata,SecoExample1,OtherTypes,Rpackages,GeoCLsandDims
EC_COMP,European Commission - DG COMP,COMP,EU,EUORG,,https://webgate.ec.europa.eu/comp/redisstat/api/dissemination/sdmx/2.1,,https://webgate.ec.europa.eu/comp/redisstat/api/dissemination/sdmx/2.1/data/,,,EC_COMP/AID_MARE/A.DK+IT.PC_GDP,,,None,https://webgate.ec.europa.eu/comp/redisstat/api/dissemination/sdmx/2.1/dataflow/,https://webgate.ec.europa.eu/comp/redisstat/api/dissemination/sdmx/2.1/datastructure/COMP/,,,,,,,,,,,,,,,,,,,
EC_GROW,European Commission - DG GROW,GROW,EU,EUORG,,https://webgate.ec.europa.eu/grow/redisstat/api/dissemination/sdmx/2.1,,https://webgate.ec.europa.eu/grow/redisstat/api/dissemination/sdmx/2.1/data/,,,EC_GROW/POST_CUBE_HIST_X/A.NR..AT,https://webgate.ec.europa.eu/grow/redisstat/api/dissemination/sdmx/2.1/data/POST_CUBE_HIST_X/A.NR..AT/all/,,None,https://webgate.ec.europa.eu/grow/redisstat/api/dissemination/sdmx/2.1/dataflow/,https://webgate.ec.europa.eu/grow/redisstat/api/dissemination/sdmx/2.1/datastructure/GROW/,,,,,,,,,,,,,,,,,,,
EC_EMPL,European Commission - DG EMPL,EMPL,EU,EUORG,,https://webgate.ec.europa.eu/empl/redisstat/api/dissemination/sdmx/2.1,SDMX-ML (Generic),https://webgate.ec.europa.eu/empl/redisstat/api/dissemination/sdmx/2.1/data/,,,EC_EMPL/LMP_IND_ACTSUP/A.RT.TOTAL.T..AT+BE,https://webgate.ec.europa.eu/empl/redisstat/api/dissemination/sdmx/2.1/data/LMP_IND_ACTSUP/A.RT.TOTAL.T..AT+BE,,None,https://webgate.ec.europa.eu/empl/redisstat/api/dissemination/sdmx/2.1/dataflow/,https://webgate.ec.europa.eu/empl/redisstat/api/dissemination/sdmx/2.1/datastructure/EMPL/,,,,,,,,,,,,,,,,,,,
UNICEF,United Nations International Children's Emergency Fund,,1A,INTORG,,https://sdmx.data.unicef.org/ws/public/sdmxapi/rest,,https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/,,,,,,None,https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/dataflow/,,,,,,,,,,,,,,,,,,,,
ILO,International Labour Organization of the United Nations,,1A,INTORG,,https://www.ilo.org/sdmx/rest,,https://www.ilo.org/sdmx/rest/data/,,,ILO/DF_GDP_205U_NOC_NB/AUT+BEL.A.GDP_205U_NB,https://www.ilo.org/sdmx/rest/data/DF_GDP_205U_NOC_NB/AUT+BEL.A.GDP_205U_NB/,,None,https://www.ilo.org/sdmx/rest/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,"CL_AREA,REF_AREA"
WBG_WITS,World Integrated Trade Solution,,1A,INTORG,,http://wits.worldbank.org/API/V1/SDMX/V21/rest,,http://wits.worldbank.org/API/V1/SDMX/V21/rest/data/,,,,,,None,http://wits.worldbank.org/API/V1/SDMX/V21/rest/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,
PDH,Pacific Data Hub DotStat,,1A,INTORG,,https://stats-nsi-stable.pacificdata.org/rest,,https://stats-nsi-stable.pacificdata.org/rest/data/,,,,,,None,https://stats-nsi-stable.pacificdata.org/rest/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,
ABS,Australian Bureau of Statistics,AUS,AU,NSI,,https://api.data.abs.gov.au,,https://api.data.abs.gov.au/data/,,,,,,None,https://api.data.abs.gov.au/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,
INEGI,Instituto Nacional de Estadística y Geografía (Méjico),MEX,MX,NSI,,http://sdmx.snieg.mx/service/Rest,,http://sdmx.snieg.mx/service/Rest/data/,,,,,,None,http://sdmx.snieg.mx/service/Rest/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,
ONS_NOMIS,NOMIS - UK Official Labour Market Statistics,UK,UK,NSI,,https://www.nomisweb.co.uk/api/v01,,https://www.nomisweb.co.uk/api/v01/data,,,,,,None,https://www.nomisweb.co.uk/api/v01/dataflow/,,,,,,,,,,,,,,,,,,,,
NCSI,Sultanate of Oman - National Center for Statistics & Information,OMN,OM,NSI,,https://data.gov.om/api/1.0/sdmx,,https://data.gov.om/api/1.0/sdmx/data/,,,,,,None,https://data.gov.om/api/1.0/sdmx/dataflow/,,,,,,,,,,,,,,,,,,,,
KNOEMA,KNOEMA knowledge plateform,,FR,PRIV,,http://knoema.fr/api/1.0/sdmx,,http://knoema.fr/api/1.0/sdmx/data/,,,,,,None,http://knoema.fr/api/1.0/sdmx/dataflow/,,,,,,,,,,,,,,,,,,,,
IMFWEO,"IMF World economic outlook, using function mdWEO",WEO,1A,INTORG,,.helpmdWEO,function,,,,,,mdWEO,,,,,,,,,,,,,,,,,,,,,,COUNTRY
AMECO,EC ECFIN AMECO database,EC_AMECO,EU,EUORG,,.helpmdAmeco,function,,,,,,mdAmeco,,,,,,,,,,,,,,,,,,,,,,"COUNTRY,GEO"
